9203201	19920224
9203202	19920308
9203203	19920303
9203204	19920309
9203205	19920309
9203206	19920309
9203207	19920310
9203208	19920310
9203209	19920311
9203210	19920315
9203211	19920316
9203212	19920316
9203213	19920317
9203214	19920316
9203215	19920318
9203216	19920318
9203217	19920318
9203218	19920319
9203219	19920324
9203220	19920326
9203221	19920326
9203222	19920327
9203223	19920329
9203224	19920330
9203225	19920330
9203226	19920331
119203001	19920408
119203060	19920321
9204201	19920401
9204202	19920401
9204203	19920401
9204204	19920402
9204205	19920402
9204206	19920402
9204207	19920402
9204208	19920405
9204209	19920406
9204210	19920406
9204211	19920406
9204212	19920407
9204213	19920407
9204214	19920407
9204215	19920408
9204216	19920410
9204217	19920413
9204218	19920413
9204219	19920413
9204220	19920413
9204221	19920413
9204222	19920414
9204223	19920416
9204224	19920421
9204225	19920422
9204226	19920422
9204227	19920422
9204228	19920422
9204229	19920422
9204230	19920422
9204231	19920423
9204232	19920423
9204233	19920423
9204234	19920427
9204235	19920428
9204236	19920429
9204237	19920429
9204238	19920429
9204239	19920430
119204017	19920429
9205201	19920504
9205202	19920504
9205203	19920504
9205204	19920504
9205205	19920505
9205206	19920506
9205207	19920506
9205208	19920507
9205209	19920508
9205210	19920508
9205211	19920508
9205212	19920508
9205213	19920508
9205214	19920509
9205215	19920512
9205216	19920511
9205217	19920512
9205218	19920513
9205219	19920513
9205220	19920513
9205221	19920514
9205222	19920515
9205223	19920518
9205224	19920519
9205225	19920520
9205226	19920520
9205227	19920520
9205228	19920521
9205229	19920522
9205230	19920522
9205231	19920524
9205232	19920525
9205233	19920526
9205234	19920526
9205235	19920526
9205236	19920526
9205237	19920526
9205238	19920527
9205239	19920527
9205240	19920527
9205241	19920527
9205242	19920528
9205243	19920528
9205244	19920529
9205245	19920529
9205246	19920529
9205247	19920529
119205006	19920507
119205018	19920522
119205020	19920525
119205029	19920512
119205060	19920518
9206201	19920601
9206202	19920601
9206203	19920601
9206204	19920602
9206205	19920603
9206206	19920603
9206207	19920603
9206208	19920604
9206209	19920604
9206210	19920604
9206211	19920604
9206212	19920605
9206213	19920608
9206214	19920610
9206215	19920611
9206216	19920611
9206217	19920611
9206218	19920611
9206219	19920612
9206220	19920612
9206221	19920615
9206222	19920615
9206223	19920615
9206224	19920616
9206225	19920616
9206226	19920616
9206227	19920617
9206228	19920617
9206229	19920617
9206230	19920617
9206231	19920617
9206232	19920618
9206233	19920618
9206234	19920618
9206235	19920619
9206236	19920619
9206237	19920619
9206238	19920619
9206239	19920621
9206240	19920622
9206241	19920622
9206242	19920622
9206243	19920622
9206244	19920623
9206245	19920623
9206246	19920623
9206247	19920623
9206248	19920625
9206249	19920625
9206250	19920625
9206251	19920625
9206252	19920626
9206253	19920625
9206254	19920626
9206255	19920626
9206256	19920626
9206257	19920626
9206258	19920626
9206259	19920628
9206260	19920629
9206261	19920629
9206262	19920629
9206263	19920629
9206264	19920630
9206265	19920630
9206266	19920630
119206001	19920616
119206003	19920619
119206005	19920624
119206013	19920610
119206014	19920610
119206018	19920622
119206025	19920629
119206027	19920630
119206055	19920612
119206074	19920619
9207201	19920701
9207202	19920701
9207203	19920701
9207204	19920702
9207205	19920702
9207206	19920702
9207207	19920702
9207208	19920702
9207209	19920703
9207210	19920703
9207211	19920703
9207212	19920703
9207213	19920703
9207214	19920703
9207215	19920704
9207216	19920705
9207217	19920707
9207218	19920707
9207219	19920707
9207220	19920707
9207221	19920708
9207222	19920708
9207223	19920708
9207224	19920709
9207225	19920709
9207226	19920709
9207227	19920709
9207228	19920709
9207229	19920709
9207230	19920709
9207231	19920710
9207232	19920710
9207233	19920710
9207234	19920710
9207235	19920711
9207236	19920714
9207237	19920714
9207238	19920714
9207239	19920714
9207240	19920714
9207241	19920715
9207242	19920715
9207243	19920715
9207244	19920716
9207245	19920717
9207246	19920720
9207247	19920720
9207248	19920720
9207249	19920720
9207250	19920721
9207251	19920721
9207252	19920721
9207253	19920722
9207254	19920722
9207255	19920723
9207256	19920723
9207257	19920720
9207258	19920724
9207259	19920724
